modelo,params,test_accuracy,test_precision,test_recall,test_f1,tiempo_entren_s
MLP-6_bigger_reg,535818,0.9822,0.9821,0.982,0.9821,26.4
CNN-6_deeper,104650,0.9926,0.9926,0.9924,0.9925,47.0
